the_geom,horaires,insee,cp,accpgnmt_collectif,accpgnmnt_rdv,accpgnmt_fildeleau,acces_libre_matos,wifi,cartodb_id,mail,site_web,tel,adresse,commune,id,lon,lat
0101000020E6100000D80DDB166596174092054CE0D6C74640,"les mardis de 10h00 à 12h00 et de 16h00 à 19h00 / les mercredis * de 10h00 à 12h00 et de 13h00 à 18h00 / les jeudis de 10h00 à 12h00 et de 16h00 à 18h00 /
les vendredis de 10h00 à 12h00 et de 16h00 à 19h00 / les samedis* de 10h00 à 13h00 et de 14h00 à 16h",73087,73160,,présence des médiathécaires,"6 postes (accès logiciels installés, impressions payantes, scanner), 1 poste dédié à l’écoute de musique en ligne, 1 poste d’accès e-médias de la bibliothèque numérique de Savoie Biblio, 1 tablette tactile en accès sur place, 4 liseuses (en prêt)",oui,oui,25,lamediatheque@cognin.fr,http://www.mediatheque-cognin.fr,04 79 96 33 83,"Centre Commercial de l'Épine
5 rue de l'épine
",Cognin,Médiathèque,5.89687,45.561245
0101000020E6100000D80DDB166596174092054CE0D6C74640,"les mardis de 9h00 à 12h00 et de 14h00 à 19h00 / les mercredis de 11h00 à 12h00 / les jeudis de 13h30-17h30/
les samedis de 10h00 à 12h00 (fermé au public pendant les vacances scolaires)",73087,73160,oui,dans le cadre des temps questions-réponses (mardi de 14h00 à 15h00 et les samedis de 11h00 à 12h00),"11 postes (dont un Mac), 3 tablettes, scanner impressions payantes",oui,oui,26,atelier.numerique@cognin.fr,http://www.mediatheque-cognin.fr,04 79 69 61 18,"Centre Commercial de l'Épine
5 rue de l'épine
",Cognin,Atelier Numérique,5.89687,45.561245
0101000020E61000002864E76D6C961740FDF50A0BEEC74640,les mercredis et vendredis de 14h00 à 18h00 (fermé pendant les vacances scolaires),73087,73160,,"accès accompagné pour diverses usages (loisirs, orientation, recherche de stage ou emploi etc.)",oui,oui,non,27,servicejeunesse@cognin.fr,,06 89 59 98 91 / 04 79 72 74 99,"8 Rue de l'Épine,",Cognin,Service Jeunesse Ville de Cognin,5.896898,45.561952
0101000020E61000003A75E5B33C0F1A401FD61BB5C2E84640,"du lundi au vendredi de 9h à 12h et de 14h à 18h
Fermé au public le jeudi matin",73114,73590,,,,,,28,vivreenvaldarly@gmail.com,http://vivre-en-valdarly.fr/,04 79 31 80 04,147 rue du Mont-Blanc,Flumet,Association Vivre en Val d’Arly - Msap,6.51488,45.818442
0101000020E6100000BFB9BF7ADC671940A9DC442DCDD54640,Mardi 10h-13h et 16h-18h30 Mercredi 16h-18h30 Vendredi 16h-18h30,73124,73200,oui,,,oui,,29,bibliotheque.municipale@gilly.fr,https://bmgilly.wordpress.com,04 79 38 01 53,168 rue de la Bévière,Gilly sur Isère,Bibliothèque Gilly sur Isère,6.351427,45.670324
0101000020E61000006B7EFCA5457D194019709692E5D24640,"Mercredi de 14h à 18h
Jeudi de 16h à 18h
Samedi de 14h à 16h",73130,73200,non,,,oui,,30,,,04 79 37 44 96,1580 CD 925,Grignon,Bibliothèque Grignon,6.372336,45.647631
0101000020E610000021ACC612D6A61740BC77D49810C74640,les mardis et vendredis de 15h30 à 18h30 et les mercredis de 10h00 à 12h00 et de 14h30 à 18h30 / le samedi de 9h30 à 12h30,73137,73000,,,oui,oui,oui,31,mediathequejacob@orange.fr,,04 79 69 87 37,Place Livio Benedetti / Rue de la Mairie,Jacob-Bellecombette,Médiathèque Jean-Louis Favre,5.912926,45.555194
0101000020E610000036C8242367811B40D0285DFA97A44640,,73143,73480,,,,,,32,espace-multimedia-valcenis@wanadoo.fr,http://www.lanslebourg-montcenis.fr/page_a_partir_menu/espace_multimedia.htm, 04 79 05 53 16,1 rue de la Chaïne,Val Cenis,Espace Public Multimédia Lanslebourg Val Cenis,6.87637,45.285888
0101000020E6100000113AE8120E6D1840B5519D0E64DB4640,LUNDI: 9h - 12h / 14h - 17h MARDI: 9h - 12h / 14h - 17h MERCREDI: 9h - 12h / 14h - 17h JEUDI : 9h - 12h / 14h - 17h VENDREDI : 9h - 12h / 14h - 17h SAMEDI : 9h - 12h,73146,73340,,,,,,33,,,,Le pont,Lescheraines,Msap Poste de Lescheraines,6.106499,45.713991
0101000020E6100000149337C0CCC71A40CC7F48BF7DC34640,Lundi 9H-12H / 14H-18H Mardi9H-12H/14H-18H Mercredi 9H-12H30/14H-17H(après-midi sur RDV) Jeudi 9H-12H/14H-17H30 Vendredi 9H-12H,73150,73210,,,,,,34,saisonniers-sigp@la-plagne.com,,04 79 09 20 85,Salle Omnisport – Plagne centre,La Plagne-Tarentaise,Espace saisonnier – Msap,6.695117,45.527275
0101000020E6100000BB421F2C63A31A403FC571E0D5984640,Lundi  : 8h30 à 12h00 et de 13h30 à 18h00 Mardi : 8h30 à 12h00 et de 13h30 à 18h00 Mercredi : 8h30 à 12h00 et de 13h30 à 18h00 Jeudi : 8h30 à 12h00 et de 13h30 à 18h00,73157,73500,,,,,,35,info@cchmv.fr,http://www.cchautemaurienne.com/msap-maison-cantonale-antenne-valcenis,04 79 05 26 67,9 place Sommeiller,Modane,Msap – Maison Cantonale,6.659558,45.194027
0101000020E610000012FA997ADD82174041118B1876CC4640,"les mardis de 9h00 à 12h00, les mercredis de 9h00 à 18h00, les jeudis de 13h00-17h00, les Vendredis de 15h00 à 19h00, les samedis de 9h00 à 13h00",73179,73290,ponctuel dans le cadre d'animations,ponctuel dans le cadre d'animations,"2 postes, 4 tablettes, impressions payantes",oui,oui,36,bibliotheque@mairie-lamotteservolex.fr,lebouquetdesbibliotheques.fr,04 79 25 60 93,30 rue François Buloz,La Motte-Servolex,Bibliothèque des deux mondes,5.877798,45.597354
0101000020E61000005C1FD61BB5221A4004CAA65CE1BD4640,Lundi : 14h - 17h Mardi : 9h - 12h / 14h - 17h Mercredi : 14h - 17h Jeudi : 9h - 12h / 14h - 17h Vendredi : 9h - 12h / 14h - 17h,73181,73600,,,,,,37,maisondesservices@moutiers.org,https://www.aacm-moutiers.fr/maison-de-services-au-public/,04 79 00 08 35,70 rue du Pain de Mai,Moutiers,Association d’Animation du Canton de Moutiers – Msap,6.533894,45.48344
0101000020E61000008237A45181F319401EA7E8482EC34640,"Lundi au vendredi
13h30 – 17h30
Jeudi
8h – 12h / 13h30 – 17h30",73187,73260,,,,,,38,maisondesservices@lalechere.fr,http://lalechere.fr/pages/show/24,04 79 09 63 77,"Place de la gare
N.D de Briançon",La Léchère,Msap La Léchère,6.487798,45.52485
0101000020E6100000EAEBF99AE5E21A4012C0CDE2C5B04640,Du 07/11/2016 au 14/04/2017 : Ouverture du lundi au vendredi de 8 h 30 à 12 h 00 et de 14 h 30 à 16 h 30. Du 18/04/2017 au 27/10/2017 : Ouverture du lundi au vendredi de 9 h 00 à 12 h 00.,73206,73710,,,,,,39,msap.pralognan-la-vanoise@laposte.fr,,,203 Avenue de Chasseforêt,Pralognan-la-Vanoise,Msap Poste de Pralognan,6.721579,45.381039
0101000020E61000007B1684F23EDE174092AF045262C74640,"Point Relais CAF, les lundis de 14h00 à 16h00 et les mercredis de 9h00 à 11h00",73213,73000,,dans le cadre du Point Relais Caf,oui,oui,oui,40,laravoire.enfance@wanadoo.fr,www.amej.info,04 79 72 89 39,Place de l'église,La Ravoire,AMEJ,5.967037,45.557688
0101000020E6100000A983BC1E4CDA174037C1374D9FC74640,"les lundis, mardis et vendredis de 15h00 à 18h00 et les mercredis de 10h00 à 12h00 et de 14h00 à 18h00 / les samedis de 10h00 à 12h00",73213,73000,,oui,,oui,non,41,bibliothèque@laravoire.com,www.laravoire.com,04 79 71 07 47,Place de l'Hôtel de ville,La Ravoire,Bibliothèque,5.963181,45.559549
0101000020E6100000A983BC1E4CDA174037C1374D9FC74640,du lundi au vendredi de 8h15 à 11h45 et de 13h30 à 17h15 / les samedis  de 8h15 à 11h45 (hors vacances scolaires),73213,73000,,sur rdv,"scanner, impression",oui,non,42,mairie@laravoire.com,www.laravoire.com,04 79 72 52 00,Place de l'Hôtel de ville,La Ravoire,Mairie de la Ravoire,5.963181,45.559549
0101000020E6100000925CFE43FA6D184050508A56EEB94640,Lundi :09h-12h30 - 14h00-17h30 Mardi : 09h-12h30 - 14h00-17h30 Mercredi :09h-12h30 - 14h00-17h30 Jeudi : 09h-12h30 - 14h00-17h30 Vendredi : 09h-12h30 - 14h00-17h30,73215,73110,oui,,oui,oui,oui,43,cvallaise@la-rochette.com,,04.79.65.36.02 ou 04.79.65.79.25,Allée des grillons,La Rochette,Msap La Rochette Cœur de Savoie,6.1074,45.452586
0101000020E61000007347FFCBB558174038328FFCC1EC4640,,73218,73310,,,,,,44,relais.chautagne@grand-lac.fr,http://www.grand-lac.fr/maison-de-services-au-public/,04 79 63 87 45,172b rue de Jérusalem - ZA Saumont,Ruffieux,Relais Grand lac – Msap Ruffieux,5.836631,45.84967
0101000020E61000003AADDBA0F68B1A40DFA4695034B54640,,73227,73120,,,,,,45,eef@mairie-courchevel.com,http://www.mairie-courchevel.com/services-et-infos-pratiques/emploi-et-formation.html,04 79 00 01 01,"372, rue des Tovets",Courchevel,Espace Emploi Formation – Msap,6.636683,45.415659
0101000020E61000002DAF5C6F9B291940AE2B6684B7AB4640,"Lundi, Mardi, Mercredi, Jeudi, Vendredi de 9h à 12h Lundi, Mardi, Jeudi, Vendredi de 14 h à 17h. Permanence à la Mairie de la Chambre jeudi de 9h à 11h. Permanence à la Mairie de Saint Remy de Maurienne mercredi de 9h à 12h.  ",73231,73130,,,,,,46,declicc.msap@orange.fr,,04 79 56 22 66,98 route de la combe,Saint-Etienne-de-Cuines,Association Declicc Msap,6.290632,45.341538
0101000020E610000058AD4CF8A55E1940861E317A6EA34640,"""mardi, jeudi et vendredi 13h18h
Mercredi 9h30 18h
Samedi 9h30 12H - 13h 16h""
",73248,73300,,,,,,47,mediatheque@saintjeandemaurienne.fr,http://mediatheque.saintjeandemaurienne.fr/opacwebaloes/index.aspx?IdPage=1,04 79 05 20 20,Rue des écoles,Saint Jean de Maurienne,Médiathèque,6.34243,45.276809
0101000020E610000054FF209221271A40EA5E27F565A94640,,73257,73440,,,,,,49,saisonniers@lesbelleville.fr,http://emploi.lesbelleville.fr/,04 79 00 23 20,Galerie de l'Adret,Les Menuires,Espace saisonniers – Msap,6.538214,45.323424
0101000020E610000047AD307DAF511A40C2FC153257A64640,,73257,73440,,,,,,50,saisonniers@lesbelleville.fr,http://emploi.lesbelleville.fr/,04 79 00 22 11,Maison de Val Thorens,Val Thorens,Espace saisonniers – Msap,6.579771,45.299536
0101000020E61000005E64027E8DE41940B3B45373B99B4640,"
Lundi, mercredi, jeudi et vendredi : 9h-12h15 / 13h30 à 17h15
Mardi après -midi : 13h30 à 17h15
Mardi matin : fermé
",73261,73140,,,,,,51,,centre-social-mosaica.org,04 79 56 66 09,25 bis rue du Général Ferrié,Saint Michel de Maurienne,Mosaica – Centre socio-culturel,6.473196,45.216597
0101000020E61000003209B502009E18405FB4C70BE9C84640,"mercredi et vendredi de 16 h à 19 h, samedi de 10h à 19h
ACA : lundi au vendredi de 9 h à 17 h",73270,73250,,,,oui,oui,52,aca.jeunesse@free.fr,,04 79 71 78 72,rue Domenget,Saint Pierre d'Albigny,Point Information jeunesse - ACACS,6.15429691534,45.569612
0101000020E610000071AE6186C6A31B40B8B06EBC3BBC4640,HORAIRES D'ÉTÉ LUNDI : 9h - 12h / 13h30 - 18h MARDI :  9h - 12h / 14h - 19h MERCREDI : Fermé le matin / 13h30 - 18h JEUDI : 9h - 12h / 14h - 19h VENDREDI : 9h - 13h HORAIRES D'HIVER LUNDI : 9h - 12h / 14h - 19h MARDI : 9h - 12h / 14h - 19h MERCREDI : fermé le matin / 14h - 19h JEUDI : 9h - 12h / 14h - 19h VENDREDI : 9h – 15h,73296,73320,,,,,,53,espacesaisonniers@tignes.net,,04 79 40 09 89,Le Glattier - Espace Saisonniers,Tignes,Espace saisonnier – Msap,6.909937,45.470573
0101000020E6100000285131F95FAB1940CDD015F84CE04640,lundi au jeudi 8 h 30 / 12 h 00 - 13 h 30 / 18 h 00,73303,73400,,,,,,54,,http://www.ugine.com/services-a-la-population/adultesfamille/,04 79 89 70 29,12 avenue Perrier de La Bathie,Ugine,Centre socio-culturel d’Ugine,6.417358297,45.75234891
0101000020E610000031992A1895E41B40D4D7F335CBB94640,,73304,73150,,,,,,55,"contact@vievaldis.com
",http://www.vievaldis.com/valdisere/,04 79 06 84 78,"Maison de Val, Route de la Balme",Val d'Isère,Association Vie val d’Is,6.973225,45.451514
0101000020E6100000F92D3A596ABD1940FC5580EF36954640,Du Dimanche au Vendredi de 15h00 à 19h00,73306,73450,,,,,,56,,https://www.valloirecinemaetculture.com/,04 79 59 02 47,"Place Claude Pinoteau,
Avenue de la Vallée d'Or",Valloire,Association d’Education Populaire de Valloire,6.434976,45.165739
0101000020E6100000C18D942D92861640BC5AEECC04CD4640,Lundi :       8h30 - 12h30 Mercredi ,73236,73240,,,,, 8h30 - 12h30 / 13h30 - 17h Vendredi  : 8h30 - 12h,57,msap@ccvalguiers.fr,https://www.ccvalguiers.fr/maison-des-services-au-public-emploi/,04 76 31 51 88,"La Tissandière
Rue du Stade",Saint Genix sur Guiers,Msap Val Guiers,5.631417,45.601709
0101000020E6100000957EC2D9ADB51640C5758C2B2EC44640,,73204,73330,,,,,,58,msap@ccvalguiers.fr,https://www.ccvalguiers.fr/maison-des-services-au-public-emploi/,04 76 37 03 65,"Pépinière Pravaz
1 avenue du Baron de Crousaz",Le Pont de Beauvoisin,Msap Val Guiers,5.677421,45.532659
0101000020E6100000D34D62105819174086E8103812CC4640,Lundi : 9h - 12h 13h30 - 16h Mardi : 9h - 12h 13h30 - 16h Mercredi : 9h - 12h 13h30 - 16h Jeudi : 9h - 12h 13h30 - 16h Vendredi :9h - 12h 13h30 - 16h Samedi : 9h - 12h,73191,73470,,,,,,59,msap.novalaise@laposte.fr,,,Route du lac,Novalaise,Msap Novalaise (Poste),5.77475,45.594306
